epoch, time, loss, acc, val_loss, val_acc
1 - 257s 64ms/step - loss: 1.7067 - acc: 0.4254 - val_loss: 2.7314 - val_acc: 0.1874
2 - 248s 62ms/step - loss: 1.5166 - acc: 0.4987 - val_loss: 2.6416 - val_acc: 0.2152
3 - 247s 62ms/step - loss: 1.4504 - acc: 0.5219 - val_loss: 2.5863 - val_acc: 0.2256
4 - 250s 63ms/step - loss: 1.4050 - acc: 0.5364 - val_loss: 2.5167 - val_acc: 0.2452
5 - 250s 62ms/step - loss: 1.3749 - acc: 0.5470 - val_loss: 2.6169 - val_acc: 0.2321
6 - 250s 62ms/step - loss: 1.3518 - acc: 0.5544 - val_loss: 2.5420 - val_acc: 0.2595
7 - 249s 62ms/step - loss: 1.3342 - acc: 0.5606 - val_loss: 2.3968 - val_acc: 0.2673
8 - 250s 62ms/step - loss: 1.3160 - acc: 0.5663 - val_loss: 2.3008 - val_acc: 0.2770
9 - 251s 63ms/step - loss: 1.3063 - acc: 0.5696 - val_loss: 2.2842 - val_acc: 0.2884
10 - 252s 63ms/step - loss: 1.2964 - acc: 0.5726 - val_loss: 2.3588 - val_acc: 0.2774
11 - 250s 62ms/step - loss: 1.2879 - acc: 0.5755 - val_loss: 2.3523 - val_acc: 0.2791
12 - 249s 62ms/step - loss: 1.2806 - acc: 0.5776 - val_loss: 2.4151 - val_acc: 0.2738
13 - 250s 62ms/step - loss: 1.2794 - acc: 0.5783 - val_loss: 2.3159 - val_acc: 0.2820
14 - 249s 62ms/step - loss: 1.2759 - acc: 0.5799 - val_loss: 2.4289 - val_acc: 0.2882
15 - 248s 62ms/step - loss: 1.2731 - acc: 0.5806 - val_loss: 2.3656 - val_acc: 0.2957
16 - 245s 61ms/step - loss: 1.2719 - acc: 0.5817 - val_loss: 2.3270 - val_acc: 0.2831
17 - 247s 62ms/step - loss: 1.2708 - acc: 0.5813 - val_loss: 2.2952 - val_acc: 0.2873
18 - 243s 61ms/step - loss: 1.2675 - acc: 0.5826 - val_loss: 2.3001 - val_acc: 0.2884
19 - 254s 64ms/step - loss: 1.2712 - acc: 0.5822 - val_loss: 2.4341 - val_acc: 0.2938
20 - 252s 63ms/step - loss: 1.2671 - acc: 0.5830 - val_loss: 2.3640 - val_acc: 0.2776
21 - 252s 63ms/step - loss: 1.2668 - acc: 0.5836 - val_loss: 2.3707 - val_acc: 0.2820
22 - 251s 63ms/step - loss: 1.2660 - acc: 0.5836 - val_loss: 2.3249 - val_acc: 0.2860
23 - ETA: 3:44 - loss: 1.2621 - acc: 0.5870
